DESARROLLADORA,PROYECTO,N INMUEBLE,MODELO,AREA TOTAL,QUE FALTA
GRUPO SANTA MARÍA,THE GRAND,204,TIPO 4A,158.39,dormitorios
GRUPO T&C,TREE,1408,TIPO 8 408 AL 2008,81.58,dormitorios
GDC,CASA DEL PARQUE,601,TIPO X03(1),157.07,vista
GDC,CASA DEL PARQUE,202,TIPO 04,130.98,vista
GDC,CASA DEL PARQUE,401,TIPO X03(2),157.82,vista
GDC,CASA DEL PARQUE,101,TIPO X01,213.07,vista
GDC,CASA DEL PARQUE,502,TIPO 04 (X03),130.23,vista
CANTABRIA,LUUP,1606,TIPO 13,2026-06-26 00:00:00,area
GRUPO T&C,TREE,1108,TIPO 8 408 AL 2008,81.58,dormitorios
CANTABRIA,LUUP,707,TIPO 9,63.65,dormitorios
CANTABRIA,LUUP,2201,TIPO 1,68.46,dormitorios
CANTABRIA,LUUP,507,TIPO 7,70.98,dormitorios
GRUPO T&C,TREE,1008,TIPO 8 408 AL 2008,81.58,dormitorios
CANTABRIA,LUUP,2105,TIPO 12,70.26,dormitorios
GDC,CASA DEL PARQUE,701,TIPO X05,300.35,vista
GRUPO T&C,TREE,1305,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,1308,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,1307,TIPO 7 1107 AL 1307,60.6,dormitorios
GRUPO T&C,TREE,1208,TIPO 8 408 AL 2008,81.58,dormitorios
CANTABRIA,LUUP,1801,TIPO 1,68.59,dormitorios
CANTABRIA,LUUP,2205,TIPO 12,70.26,dormitorios
GRUPO T&C,TREE,1405,TIPO 5 405 AL 3305,47.16,dormitorios
CANTABRIA,LUUP,1106,TIPO 10,71.4,dormitorios
GRUPO T&C,TREE,1407,TIPO 7 1407 AL 3307,60.6,dormitorios
CANTABRIA,LUUP,1305,TIPO 12,73.01,dormitorios
GRUPO T&C,GALLERY,4,PENDIENTE,109.16,dormitorios
GRUPO T&C,TREE,1207,TIPO 7 1107 AL 1307,60.6,dormitorios
GDC,CASA DEL PARQUE,102,TIPO X02,170.65,vista
GDC,CASA DEL PARQUE,302,TIPO 04,130.98,vista
CANTABRIA,LUUP,1401,TIPO 1,68.97,dormitorios
CANTABRIA,LUUP,1505,TIPO 12,71.15,dormitorios
GRUPO T&C,TREE,1508,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,1507,TIPO 7 1407 AL 3307,60.6,dormitorios
CANTABRIA,LUUP,701,TIPO 1,69.41,dormitorios
CANTABRIA,LUUP,1001,TIPO 1,69.41,dormitorios
GRUPO T&C,TREE,1607,TIPO 7 1407 AL 3307,60.6,dormitorios
CANTABRIA,LUUP,606,TIPO 8,68.47,dormitorios
CANTABRIA,LUUP,301,TIPO 1,69.41,dormitorios
GRUPO T&C,TREE,1505,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,1808,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,1905,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,1907,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,2207,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,2307,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,2008,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,2507,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,2608,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,2005,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,2908,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,1205,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,LIT,606,TIPO 6 (106 AL 1006),43.51,dormitorios; entrega
GRUPO T&C,LIT,1005,TIPO 10 (705 AL 1005),80.68,dormitorios; entrega
GRUPO SANTA MARÍA,THE GRAND,802,TIPO 2,151.53,dormitorios
GRUPO T&C,TREE,908,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,2605,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,2407,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,1608,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,1107,TIPO 7 1107 AL 1307,60.6,dormitorios
GRUPO T&C,TREE,605,TIPO 5 405 AL 3305,47.16,dormitorios
CANTABRIA,LUUP,1707,TIPO 14,2026-11-25 00:00:00,area
CANTABRIA,LUUP,1407,TIPO 14,2026-09-25 00:00:00,area
GRUPO T&C,TREE,2505,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,2805,TIPO 5 405 AL 3305,47.16,dormitorios
CANTABRIA,LUUP,407,TIPO 7,70.98,dormitorios
GRUPO T&C,TREE,2708,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,2408,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,2308,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,1908,TIPO 8 408 AL 2008,81.58,dormitorios
CANTABRIA,LUUP,206,TIPO 6,88.61,dormitorios
GRUPO T&C,TREE,1707,TIPO 7 1407 AL 3307,60.6,dormitorios
GRUPO T&C,TREE,2208,TIPO 8 2108 AL 3308,82.41,dormitorios
GRUPO T&C,TREE,2108,TIPO 8 2108 AL 3308,82.41,dormitorios
CANTABRIA,LUUP,1006,TIPO 10,83.55,dormitorios
CANTABRIA,LUUP,207,TIPO 7,94.18,dormitorios
CANTABRIA,LUUP,1601,TIPO 1,68.59,dormitorios
GRUPO SANTA MARÍA,THE GRAND,201,TIPO 1,151.04,dormitorios
GRUPO SANTA MARÍA,THE GRAND,302,TIPO 2,151.53,dormitorios
GRUPO SANTA MARÍA,THE GRAND,202,TIPO 2,151.53,dormitorios
CANTABRIA,LUUP,306,TIPO 6,68.18,dormitorios
CANTABRIA,LUUP,806,TIPO 8,61.67,dormitorios
CANTABRIA,LUUP,706,TIPO 8,61.67,dormitorios
GRUPO MG,BRAVO,605,X05,88.77,dormitorios
INMGENIO,GRETA,604,TIPO X04,268.38,dormitorios
INMGENIO,GRETA,601,TIPO X01,255.29,dormitorios
INMGENIO,ALONSO,504,TIPO X04,194.63,dormitorios
INMGENIO,ALONSO,503,TIPO X03,143.79,dormitorios
INMGENIO,ALONSO,501,TIPO X01,175.74,dormitorios
INMGENIO,RAFAEL,603,TIPO X03,217.82,dormitorios
GRUPO MG,BRAVO,1205,X05,76.58,dormitorios
GRUPO MG,BRAVO,805,X05,84.36,dormitorios
GRUPO MG,BRAVO,505,X05,88.77,dormitorios
GRUPO MG,BRAVO,405,X05,88.77,dormitorios
GRUPO MG,BRAVO,305,X05,88.77,dormitorios
GRUPO MG,BRAVO,105,X05,119.46,dormitorios
